Id.Cliente,Familia,Categoria Productos,Potencial_H
778,Anestesia,Categoria C1,"3.410,04"
801,Anestesia,Categoria C1,"1.802,36"
813,Anestesia,Categoria C1,"3.410,04"
814,Anestesia,Categoria C1,"2.223,12"
816,Anestesia,Categoria C1,"1.802,36"
818,Anestesia,Categoria C1,"2.223,12"
827,Anestesia,Categoria C1,"1.802,36"
841,Anestesia,Categoria C1,"2.223,12"
878,Anestesia,Categoria C1,"3.410,04"
879,Anestesia,Categoria C1,"3.410,04"
906,Anestesia,Categoria C1,"3.410,04"
924,Anestesia,Categoria C1,"2.223,12"
932,Anestesia,Categoria C1,"2.223,12"
946,Anestesia,Categoria C1,"3.410,04"
959,Anestesia,Categoria C1,"3.410,04"
979,Anestesia,Categoria C1,"1.802,36"
986,Anestesia,Categoria C1,"1.802,36"
991,Anestesia,Categoria C1,"2.223,12"
993,Anestesia,Categoria C1,"2.223,12"
1005,Anestesia,Categoria C1,"4.546,72"
1036,Anestesia,Categoria C1,"2.223,12"
1037,Anestesia,Categoria C1,"2.223,12"
1056,Anestesia,Categoria C1,"1.802,36"
1073,Anestesia,Categoria C1,"1.802,36"
1074,Anestesia,Categoria C1,"2.223,12"
1078,Anestesia,Categoria C1,"1.802,36"
1083,Anestesia,Categoria C1,"2.223,12"
1104,Anestesia,Categoria C1,"2.223,12"
1116,Anestesia,Categoria C1,"3.410,04"
1118,Anestesia,Categoria C1,"3.410,04"
1133,Anestesia,Categoria C1,"1.802,36"
1137,Anestesia,Categoria C1,"2.223,12"
1144,Anestesia,Categoria C1,"5.683,40"
1156,Anestesia,Categoria C1,"4.546,72"
1169,Anestesia,Categoria C1,"2.223,12"
1177,Anestesia,Categoria C1,"2.223,12"
1195,Anestesia,Categoria C1,"3.410,04"
1211,Anestesia,Categoria C1,"3.410,04"
1212,Anestesia,Categoria C1,"1.802,36"
1217,Anestesia,Categoria C1,"2.223,12"
1221,Anestesia,Categoria C1,"3.410,04"
1236,Anestesia,Categoria C1,"1.802,36"
1238,Anestesia,Categoria C1,"2.223,12"
1243,Anestesia,Categoria C1,"1.802,36"
1246,Anestesia,Categoria C1,"1.802,36"
1248,Anestesia,Categoria C1,"1.802,36"
1262,Anestesia,Categoria C1,"1.802,36"
1264,Anestesia,Categoria C1,"1.802,36"
1274,Anestesia,Categoria C1,"2.223,12"
1276,Anestesia,Categoria C1,"2.223,12"
1299,Anestesia,Categoria C1,"5.683,40"
1311,Anestesia,Categoria C1,"1.802,36"
1314,Anestesia,Categoria C1,"2.223,12"
1392,Anestesia,Categoria C1,"2.223,12"
1394,Anestesia,Categoria C1,"2.223,12"
1416,Anestesia,Categoria C1,"2.223,12"
1419,Anestesia,Categoria C1,"2.223,12"
1420,Anestesia,Categoria C1,"2.223,12"
1421,Anestesia,Categoria C1,"2.223,12"
1426,Anestesia,Categoria C1,"2.223,12"
1428,Anestesia,Categoria C1,"2.223,12"
1430,Anestesia,Categoria C1,"2.223,12"
1433,Anestesia,Categoria C1,"2.223,12"
1434,Anestesia,Categoria C1,"3.410,04"
1451,Anestesia,Categoria C1,"2.223,12"
1452,Anestesia,Categoria C1,"2.223,12"
1460,Anestesia,Categoria C1,"2.223,12"
1461,Anestesia,Categoria C1,"2.223,12"
1477,Anestesia,Categoria C1,"2.223,12"
1478,Anestesia,Categoria C1,"1.802,36"
1487,Anestesia,Categoria C1,"1.802,36"
1516,Anestesia,Categoria C1,"3.410,04"
1528,Anestesia,Categoria C1,"2.223,12"
1536,Anestesia,Categoria C1,"2.223,12"
1575,Anestesia,Categoria C1,"2.223,12"
1589,Anestesia,Categoria C1,"2.223,12"
1592,Anestesia,Categoria C1,"2.223,12"
1601,Anestesia,Categoria C1,"2.223,12"
1624,Anestesia,Categoria C1,"1.802,36"
1628,Anestesia,Categoria C1,"1.802,36"
1641,Anestesia,Categoria C1,"2.223,12"
1643,Anestesia,Categoria C1,"1.802,36"
1686,Anestesia,Categoria C1,"2.223,12"
1690,Anestesia,Categoria C1,"1.802,36"
1724,Anestesia,Categoria C1,"1.802,36"
1730,Anestesia,Categoria C1,"2.223,12"
1753,Anestesia,Categoria C1,"1.802,36"
1760,Anestesia,Categoria C1,"2.223,12"
1765,Anestesia,Categoria C1,"1.802,36"
1778,Anestesia,Categoria C1,"2.223,12"
1779,Anestesia,Categoria C1,"1.802,36"
1803,Anestesia,Categoria C1,"2.223,12"
1817,Anestesia,Categoria C1,"2.223,12"
1818,Anestesia,Categoria C1,"2.223,12"
1821,Anestesia,Categoria C1,"1.802,36"
1842,Anestesia,Categoria C1,"2.223,12"
1844,Anestesia,Categoria C1,"2.223,12"
1861,Anestesia,Categoria C1,"2.223,12"
1865,Anestesia,Categoria C1,"2.223,12"
1889,Anestesia,Categoria C1,"1.802,36"
1895,Anestesia,Categoria C1,"2.223,12"
1897,Anestesia,Categoria C1,"2.223,12"
1908,Anestesia,Categoria C1,"3.410,04"
1909,Anestesia,Categoria C1,"2.223,12"
1954,Anestesia,Categoria C1,"4.546,72"
1962,Anestesia,Categoria C1,"1.802,36"
1963,Anestesia,Categoria C1,"2.223,12"
1964,Anestesia,Categoria C1,"2.223,12"
1998,Anestesia,Categoria C1,"2.223,12"
2034,Anestesia,Categoria C1,"1.802,36"
2052,Anestesia,Categoria C1,"2.223,12"
2074,Anestesia,Categoria C1,"3.410,04"
2083,Anestesia,Categoria C1,"2.223,12"
2095,Anestesia,Categoria C1,"1.802,36"
2114,Anestesia,Categoria C1,"2.223,12"
2121,Anestesia,Categoria C1,"1.802,36"
2125,Anestesia,Categoria C1,"1.802,36"
2141,Anestesia,Categoria C1,"2.223,12"
2143,Anestesia,Categoria C1,"2.223,12"
2148,Anestesia,Categoria C1,"9.093,44"
2167,Anestesia,Categoria C1,"2.223,12"
2170,Anestesia,Categoria C1,"2.223,12"
2179,Anestesia,Categoria C1,"3.410,04"
2183,Anestesia,Categoria C1,"2.223,12"
2200,Anestesia,Categoria C1,"2.223,12"
2203,Anestesia,Categoria C1,"2.223,12"
2210,Anestesia,Categoria C1,"1.802,36"
2218,Anestesia,Categoria C1,"2.223,12"
2219,Anestesia,Categoria C1,"1.802,36"
2227,Anestesia,Categoria C1,"1.802,36"
2228,Anestesia,Categoria C1,"2.223,12"
2230,Anestesia,Categoria C1,"3.410,04"
2234,Anestesia,Categoria C1,"1.802,36"
2235,Anestesia,Categoria C1,"2.223,12"
2242,Anestesia,Categoria C1,"4.546,72"
2244,Anestesia,Categoria C1,"1.802,36"
2245,Anestesia,Categoria C1,"3.410,04"
2246,Anestesia,Categoria C1,"2.223,12"
2275,Anestesia,Categoria C1,"2.223,12"
2297,Anestesia,Categoria C1,"1.802,36"
2305,Anestesia,Categoria C1,"2.223,12"
2307,Anestesia,Categoria C1,"2.223,12"
2309,Anestesia,Categoria C1,"2.223,12"
2335,Anestesia,Categoria C1,"2.223,12"
2345,Anestesia,Categoria C1,"3.410,04"
2348,Anestesia,Categoria C1,"3.410,04"
2353,Anestesia,Categoria C1,"2.223,12"
2358,Anestesia,Categoria C1,"2.223,12"
2363,Anestesia,Categoria C1,"3.410,04"
2370,Anestesia,Categoria C1,"3.410,04"
2372,Anestesia,Categoria C1,"1.802,36"
2373,Anestesia,Categoria C1,"3.410,04"
2376,Anestesia,Categoria C1,"2.223,12"
2384,Anestesia,Categoria C1,"2.223,12"
2387,Anestesia,Categoria C1,"3.410,04"
2391,Anestesia,Categoria C1,"3.410,04"
2392,Anestesia,Categoria C1,"2.223,12"
2406,Anestesia,Categoria C1,"3.410,04"
2424,Anestesia,Categoria C1,"2.223,12"
2426,Anestesia,Categoria C1,"4.546,72"
2427,Anestesia,Categoria C1,"2.223,12"
2432,Anestesia,Categoria C1,"1.802,36"
2435,Anestesia,Categoria C1,"5.683,40"
2437,Anestesia,Categoria C1,"2.223,12"
2439,Anestesia,Categoria C1,"2.223,12"
2441,Anestesia,Categoria C1,"2.223,12"
2442,Anestesia,Categoria C1,"1.802,36"
2468,Anestesia,Categoria C1,"2.223,12"
2498,Anestesia,Categoria C1,"3.410,04"
2503,Anestesia,Categoria C1,"3.410,04"
2504,Anestesia,Categoria C1,"1.802,36"
2521,Anestesia,Categoria C1,"2.223,12"
2525,Anestesia,Categoria C1,"2.223,12"
2528,Anestesia,Categoria C1,"3.410,04"
2531,Anestesia,Categoria C1,"2.223,12"
2545,Anestesia,Categoria C1,"2.223,12"
2546,Anestesia,Categoria C1,"2.223,12"
2555,Anestesia,Categoria C1,"2.223,12"
2562,Anestesia,Categoria C1,"2.223,12"
2582,Anestesia,Categoria C1,"1.802,36"
2587,Anestesia,Categoria C1,"2.223,12"
2595,Anestesia,Categoria C1,"2.223,12"
2604,Anestesia,Categoria C1,"2.223,12"
2645,Anestesia,Categoria C1,"2.223,12"
2667,Anestesia,Categoria C1,"2.223,12"
2668,Anestesia,Categoria C1,"3.410,04"
2680,Anestesia,Categoria C1,"2.223,12"
2698,Anestesia,Categoria C1,"2.223,12"
2709,Anestesia,Categoria C1,"2.223,12"
2753,Anestesia,Categoria C1,"2.223,12"
2759,Anestesia,Categoria C1,"2.223,12"
2771,Anestesia,Categoria C1,"2.223,12"
2784,Anestesia,Categoria C1,"2.223,12"
2785,Anestesia,Categoria C1,"2.223,12"
2788,Anestesia,Categoria C1,"2.223,12"
2802,Anestesia,Categoria C1,"2.223,12"
2807,Anestesia,Categoria C1,"2.223,12"
2811,Anestesia,Categoria C1,"6.820,08"
2813,Anestesia,Categoria C1,"2.223,12"
2821,Anestesia,Categoria C1,"2.223,12"
2843,Anestesia,Categoria C1,"2.223,12"
2846,Anestesia,Categoria C1,"2.223,12"
2858,Anestesia,Categoria C1,"3.410,04"
2861,Anestesia,Categoria C1,"2.223,12"
2873,Anestesia,Categoria C1,"2.223,12"
2879,Anestesia,Categoria C1,"1.802,36"
2882,Anestesia,Categoria C1,"1.802,36"
2884,Anestesia,Categoria C1,"2.223,12"
2887,Anestesia,Categoria C1,"4.546,72"
2913,Anestesia,Categoria C1,"2.223,12"
2928,Anestesia,Categoria C1,"3.410,04"
2931,Anestesia,Categoria C1,"2.223,12"
2946,Anestesia,Categoria C1,"2.223,12"
2959,Anestesia,Categoria C1,"2.223,12"
2965,Anestesia,Categoria C1,"1.802,36"
2973,Anestesia,Categoria C1,"2.223,12"
2975,Anestesia,Categoria C1,"3.410,04"
2991,Anestesia,Categoria C1,"1.802,36"
2995,Anestesia,Categoria C1,"2.223,12"
3008,Anestesia,Categoria C1,"2.223,12"
3042,Anestesia,Categoria C1,"2.223,12"
3044,Anestesia,Categoria C1,"3.410,04"
3049,Anestesia,Categoria C1,"4.546,72"
3056,Anestesia,Categoria C1,"1.802,36"
3068,Anestesia,Categoria C1,"2.223,12"
3110,Anestesia,Categoria C1,"2.223,12"
3111,Anestesia,Categoria C1,"2.223,12"
3129,Anestesia,Categoria C1,"2.223,12"
3142,Anestesia,Categoria C1,"2.223,12"
3153,Anestesia,Categoria C1,"2.223,12"
3157,Anestesia,Categoria C1,"2.223,12"
3158,Anestesia,Categoria C1,"2.223,12"
3161,Anestesia,Categoria C1,"1.802,36"
3168,Anestesia,Categoria C1,"2.223,12"
3178,Anestesia,Categoria C1,"2.223,12"
3180,Anestesia,Categoria C1,"2.223,12"
3182,Anestesia,Categoria C1,"2.223,12"
3210,Anestesia,Categoria C1,"3.410,04"
3215,Anestesia,Categoria C1,"1.802,36"
3217,Anestesia,Categoria C1,"2.223,12"
3218,Anestesia,Categoria C1,"2.223,12"
3239,Anestesia,Categoria C1,"2.223,12"
3242,Anestesia,Categoria C1,"2.223,12"
3253,Anestesia,Categoria C1,"2.223,12"
3264,Anestesia,Categoria C1,"2.223,12"
3300,Anestesia,Categoria C1,"2.223,12"
3327,Anestesia,Categoria C1,"2.223,12"
3343,Anestesia,Categoria C1,"2.223,12"
3346,Anestesia,Categoria C1,"2.223,12"
3358,Anestesia,Categoria C1,"2.223,12"
3374,Anestesia,Categoria C1,"2.223,12"
3383,Anestesia,Categoria C1,"2.223,12"
3386,Anestesia,Categoria C1,"2.223,12"
3418,Anestesia,Categoria C1,"1.802,36"
3447,Anestesia,Categoria C1,"1.802,36"
3478,Anestesia,Categoria C1,"2.223,12"
3503,Anestesia,Categoria C1,"2.223,12"
3505,Anestesia,Categoria C1,"2.223,12"
3516,Anestesia,Categoria C1,"2.223,12"
3534,Anestesia,Categoria C1,"2.223,12"
3545,Anestesia,Categoria C1,"2.223,12"
3560,Anestesia,Categoria C1,"2.223,12"
3583,Anestesia,Categoria C1,"1.802,36"
3607,Anestesia,Categoria C1,"2.223,12"
3637,Anestesia,Categoria C1,"2.223,12"
3682,Anestesia,Categoria C1,"1.802,36"
3683,Anestesia,Categoria C1,"3.410,04"
3685,Anestesia,Categoria C1,"2.223,12"
3688,Anestesia,Categoria C1,"2.223,12"
3698,Anestesia,Categoria C1,"2.223,12"
3701,Anestesia,Categoria C1,"2.223,12"
3703,Anestesia,Categoria C1,"2.223,12"
3709,Anestesia,Categoria C1,"3.410,04"
3710,Anestesia,Categoria C1,"2.223,12"
3722,Anestesia,Categoria C1,"3.410,04"
3723,Anestesia,Categoria C1,"2.223,12"
3728,Anestesia,Categoria C1,"2.223,12"
3745,Anestesia,Categoria C1,"2.223,12"
3749,Anestesia,Categoria C1,"1.802,36"
3750,Anestesia,Categoria C1,"1.802,36"
3754,Anestesia,Categoria C1,"2.223,12"
3756,Anestesia,Categoria C1,"2.223,12"
3760,Anestesia,Categoria C1,"2.223,12"
3776,Anestesia,Categoria C1,"1.802,36"
3784,Anestesia,Categoria C1,"2.223,12"
3799,Anestesia,Categoria C1,"3.410,04"
3814,Anestesia,Categoria C1,"2.223,12"
3837,Anestesia,Categoria C1,"2.223,12"
3894,Anestesia,Categoria C1,"2.223,12"
3919,Anestesia,Categoria C1,"2.223,12"
3920,Anestesia,Categoria C1,"2.223,12"
3928,Anestesia,Categoria C1,"5.683,40"
3930,Anestesia,Categoria C1,"2.223,12"
3933,Anestesia,Categoria C1,"2.223,12"
3937,Anestesia,Categoria C1,"2.223,12"
4012,Anestesia,Categoria C1,"2.223,12"
4020,Anestesia,Categoria C1,"3.410,04"
4045,Anestesia,Categoria C1,"2.223,12"
4047,Anestesia,Categoria C1,"1.802,36"
4048,Anestesia,Categoria C1,"3.410,04"
4049,Anestesia,Categoria C1,"2.223,12"
4058,Anestesia,Categoria C1,"2.223,12"
4063,Anestesia,Categoria C1,"2.223,12"
4075,Anestesia,Categoria C1,"1.802,36"
4081,Anestesia,Categoria C1,"3.410,04"
4083,Anestesia,Categoria C1,"2.223,12"
4090,Anestesia,Categoria C1,"2.223,12"
4092,Anestesia,Categoria C1,"3.410,04"
4101,Anestesia,Categoria C1,"3.410,04"
4111,Anestesia,Categoria C1,"3.410,04"
4133,Anestesia,Categoria C1,"2.223,12"
4139,Anestesia,Categoria C1,"1.802,36"
4156,Anestesia,Categoria C1,"1.802,36"
4216,Anestesia,Categoria C1,"2.223,12"
4219,Anestesia,Categoria C1,"1.802,36"
4234,Anestesia,Categoria C1,"1.802,36"
4237,Anestesia,Categoria C1,"2.223,12"
4251,Anestesia,Categoria C1,"2.223,12"
4254,Anestesia,Categoria C1,"2.223,12"
4329,Anestesia,Categoria C1,"1.802,36"
4358,Anestesia,Categoria C1,"3.410,04"
4359,Anestesia,Categoria C1,"2.223,12"
4406,Anestesia,Categoria C1,"2.223,12"
4412,Anestesia,Categoria C1,"1.802,36"
4414,Anestesia,Categoria C1,"2.223,12"
4415,Anestesia,Categoria C1,"2.223,12"
4425,Anestesia,Categoria C1,"2.223,12"
4451,Anestesia,Categoria C1,"1.802,36"
4459,Anestesia,Categoria C1,"2.223,12"
4464,Anestesia,Categoria C1,"4.546,72"
4473,Anestesia,Categoria C1,"2.223,12"
4484,Anestesia,Categoria C1,"2.223,12"
4500,Anestesia,Categoria C1,"2.223,12"
4539,Anestesia,Categoria C1,"1.802,36"
4544,Anestesia,Categoria C1,"2.223,12"
4549,Anestesia,Categoria C1,"3.410,04"
4561,Anestesia,Categoria C1,"1.802,36"
4646,Anestesia,Categoria C1,"3.410,04"
4648,Anestesia,Categoria C1,"1.802,36"
4656,Anestesia,Categoria C1,"2.223,12"
4660,Anestesia,Categoria C1,"2.223,12"
4668,Anestesia,Categoria C1,"2.223,12"
4681,Anestesia,Categoria C1,"3.410,04"
4710,Anestesia,Categoria C1,"2.223,12"
4717,Anestesia,Categoria C1,"1.802,36"
4722,Anestesia,Categoria C1,"1.802,36"
4725,Anestesia,Categoria C1,"1.802,36"
4731,Anestesia,Categoria C1,"2.223,12"
4748,Anestesia,Categoria C1,"3.410,04"
4753,Anestesia,Categoria C1,"3.410,04"
4759,Anestesia,Categoria C1,"1.802,36"
4764,Anestesia,Categoria C1,"2.223,12"
4767,Anestesia,Categoria C1,"5.683,40"
4773,Anestesia,Categoria C1,"1.802,36"
4797,Anestesia,Categoria C1,"4.546,72"
4807,Anestesia,Categoria C1,"2.223,12"
4830,Anestesia,Categoria C1,"1.802,36"
4832,Anestesia,Categoria C1,"2.223,12"
4835,Anestesia,Categoria C1,"2.223,12"
4845,Anestesia,Categoria C1,"1.802,36"
4852,Anestesia,Categoria C1,"0,00"
4872,Anestesia,Categoria C1,"2.223,12"
4876,Anestesia,Categoria C1,"1.802,36"
4895,Anestesia,Categoria C1,"1.802,36"
4897,Anestesia,Categoria C1,"1.802,36"
4903,Anestesia,Categoria C1,"1.802,36"
4910,Anestesia,Categoria C1,"2.223,12"
4913,Anestesia,Categoria C1,"1.802,36"
4919,Anestesia,Categoria C1,"1.802,36"
4944,Anestesia,Categoria C1,"1.802,36"
4953,Anestesia,Categoria C1,"2.223,12"
4989,Anestesia,Categoria C1,"1.802,36"
5017,Anestesia,Categoria C1,"2.223,12"
5036,Anestesia,Categoria C1,"1.802,36"
5040,Anestesia,Categoria C1,"1.802,36"
5047,Anestesia,Categoria C1,"1.802,36"
5067,Anestesia,Categoria C1,"2.223,12"
5076,Anestesia,Categoria C1,"2.223,12"
5079,Anestesia,Categoria C1,"3.410,04"
5087,Anestesia,Categoria C1,"2.223,12"
5104,Anestesia,Categoria C1,"3.410,04"
5111,Anestesia,Categoria C1,"2.223,12"
5114,Anestesia,Categoria C1,"2.223,12"
5115,Anestesia,Categoria C1,"3.410,04"
5125,Anestesia,Categoria C1,"2.223,12"
5129,Anestesia,Categoria C1,"2.223,12"
5134,Anestesia,Categoria C1,"2.223,12"
5136,Anestesia,Categoria C1,"2.223,12"
5154,Anestesia,Categoria C1,"3.410,04"
5160,Anestesia,Categoria C1,"3.410,04"
5171,Anestesia,Categoria C1,"3.410,04"
5191,Anestesia,Categoria C1,"2.223,12"
5194,Anestesia,Categoria C1,"2.223,12"
5195,Anestesia,Categoria C1,"2.223,12"
5209,Anestesia,Categoria C1,"2.223,12"
5210,Anestesia,Categoria C1,"1.802,36"
5213,Anestesia,Categoria C1,"1.802,36"
5251,Anestesia,Categoria C1,"2.223,12"
5255,Anestesia,Categoria C1,"2.223,12"
5273,Anestesia,Categoria C1,"3.410,04"
5275,Anestesia,Categoria C1,"2.223,12"
5292,Anestesia,Categoria C1,"3.410,04"
5300,Anestesia,Categoria C1,"2.223,12"
5336,Anestesia,Categoria C1,"2.223,12"
5337,Anestesia,Categoria C1,"3.410,04"
5347,Anestesia,Categoria C1,"3.410,04"
5362,Anestesia,Categoria C1,"2.223,12"
5371,Anestesia,Categoria C1,"4.546,72"
5394,Anestesia,Categoria C1,"2.223,12"
5395,Anestesia,Categoria C1,"1.802,36"
5430,Anestesia,Categoria C1,"3.410,04"
5437,Anestesia,Categoria C1,"3.410,04"
5447,Anestesia,Categoria C1,"2.223,12"
5462,Anestesia,Categoria C1,"3.410,04"
5492,Anestesia,Categoria C1,"1.802,36"
5495,Anestesia,Categoria C1,"2.223,12"
5501,Anestesia,Categoria C1,"1.802,36"
5532,Anestesia,Categoria C1,"1.802,36"
5534,Anestesia,Categoria C1,"2.223,12"
5540,Anestesia,Categoria C1,"2.223,12"
5547,Anestesia,Categoria C1,"1.802,36"
5548,Anestesia,Categoria C1,"1.802,36"
5554,Anestesia,Categoria C1,"2.223,12"
5567,Anestesia,Categoria C1,"3.410,04"
5577,Anestesia,Categoria C1,"1.802,36"
5584,Anestesia,Categoria C1,"4.546,72"
5592,Anestesia,Categoria C1,"2.223,12"
5601,Anestesia,Categoria C1,"2.223,12"
5602,Anestesia,Categoria C1,"2.223,12"
5604,Anestesia,Categoria C1,"4.546,72"
5606,Anestesia,Categoria C1,"1.802,36"
5615,Anestesia,Categoria C1,"1.802,36"
5628,Anestesia,Categoria C1,"2.223,12"
5629,Anestesia,Categoria C1,"2.223,12"
5665,Anestesia,Categoria C1,"2.223,12"
5686,Anestesia,Categoria C1,"2.223,12"
5696,Anestesia,Categoria C1,"1.802,36"
5699,Anestesia,Categoria C1,"2.223,12"
5718,Anestesia,Categoria C1,"2.223,12"
5728,Anestesia,Categoria C1,"3.410,04"
5748,Anestesia,Categoria C1,"2.223,12"
5757,Anestesia,Categoria C1,"2.223,12"
5762,Anestesia,Categoria C1,"2.223,12"
5769,Anestesia,Categoria C1,"2.223,12"
5776,Anestesia,Categoria C1,"2.223,12"
5784,Anestesia,Categoria C1,"4.546,72"
5787,Anestesia,Categoria C1,"5.683,40"
5789,Anestesia,Categoria C1,"4.546,72"
5790,Anestesia,Categoria C1,"2.223,12"
5802,Anestesia,Categoria C1,"2.223,12"
5814,Anestesia,Categoria C1,"2.223,12"
5837,Anestesia,Categoria C1,"1.802,36"
5842,Anestesia,Categoria C1,"3.410,04"
5853,Anestesia,Categoria C1,"3.410,04"
5860,Anestesia,Categoria C1,"2.223,12"
5863,Anestesia,Categoria C1,"2.223,12"
5871,Anestesia,Categoria C1,"1.802,36"
5878,Anestesia,Categoria C1,"4.546,72"
5879,Anestesia,Categoria C1,"3.410,04"
5885,Anestesia,Categoria C1,"2.223,12"
5887,Anestesia,Categoria C1,"2.223,12"
5908,Anestesia,Categoria C1,"2.223,12"
5922,Anestesia,Categoria C1,"2.223,12"
5924,Anestesia,Categoria C1,"3.410,04"
5931,Anestesia,Categoria C1,"2.223,12"
5939,Anestesia,Categoria C1,"2.223,12"
6007,Anestesia,Categoria C1,"3.410,04"
6010,Anestesia,Categoria C1,"2.223,12"
6029,Anestesia,Categoria C1,"4.546,72"
6060,Anestesia,Categoria C1,"2.223,12"
6073,Anestesia,Categoria C1,"1.802,36"
6123,Anestesia,Categoria C1,"3.410,04"
6131,Anestesia,Categoria C1,"2.223,12"
6147,Anestesia,Categoria C1,"3.410,04"
6158,Anestesia,Categoria C1,"2.223,12"
6170,Anestesia,Categoria C1,"2.223,12"
6184,Anestesia,Categoria C1,"3.410,04"
6187,Anestesia,Categoria C1,"2.223,12"
6197,Anestesia,Categoria C1,"9.093,44"
6208,Anestesia,Categoria C1,"9.093,44"
6211,Anestesia,Categoria C1,"2.223,12"
6213,Anestesia,Categoria C1,"2.223,12"
6217,Anestesia,Categoria C1,"2.223,12"
6225,Anestesia,Categoria C1,"3.410,04"
6230,Anestesia,Categoria C1,"5.683,40"
6248,Anestesia,Categoria C1,"3.410,04"
6249,Anestesia,Categoria C1,"2.223,12"
6250,Anestesia,Categoria C1,"2.223,12"
6253,Anestesia,Categoria C1,"1.802,36"
6259,Anestesia,Categoria C1,"3.410,04"
6270,Anestesia,Categoria C1,"1.802,36"
6272,Anestesia,Categoria C1,"3.410,04"
6278,Anestesia,Categoria C1,"2.223,12"
6307,Anestesia,Categoria C1,"2.223,12"
6330,Anestesia,Categoria C1,"2.223,12"
6342,Anestesia,Categoria C1,"3.410,04"
6346,Anestesia,Categoria C1,"1.802,36"
6347,Anestesia,Categoria C1,"2.223,12"
6360,Anestesia,Categoria C1,"3.410,04"
6361,Anestesia,Categoria C1,"2.223,12"
6401,Anestesia,Categoria C1,"3.410,04"
6407,Anestesia,Categoria C1,"2.223,12"
6421,Anestesia,Categoria C1,"2.223,12"
